name,gender
aakash,M
aamir,M
abhijeet,M
abhijit,M
abhishek,M
adil,M
aditya,M
aftab,M
ahmad,M
ahmed,M
ajay,M
akash,M
akhtar,M
ali,M
alok,M
alpesh,M
amar,M
amit,M
amitava,M
amol,M
amrit,M
amritpal,M
anand,M
anas,M
anbu,M
anil,M
anirban,M
ankit,M
anupam,M
anwar,M
arasu,M
arif,M
arindam,M
arjun,M
arka,M
arshad,M
arun,M
arvind,M
ashish,M
ashok,M
ashutosh,M
ashwin,M
asif,M
asit,M
aslam,M
atul,M
avinash,M
ayaz,M
ayub,M
azhar,M
bala,M
balaji,M
balasubramaniam,M
baljeet,M
baljinder,M
balraj,M
balwinder,M
bappa,M
basit,M
bhanu,M
bharat,M
bhavesh,M
bhupinder,M
bibhas,M
bikash,M
bilal,M
biman,M
biplab,M
chandan,M
chandran,M
chandrasekhar,M
charanjit,M
chetan,M
chezhian,M
chinna,M
chirag,M
daljeet,M
daljit,M
danish,M
dattatray,M
davinder,M
debashish,M
debu,M
deepak,M
devendra,M
dhaval,M
dhruv,M
dilip,M
dinesh,M
ehsan,M
elango,M
fahad,M
faisal,M
faizan,M
farhan,M
farooq,M
ganapathy,M
ganesh,M
ganeshan,M
gaurav,M
gautam,M
ghalib,M
ghulam,M
girish,M
gopal,M
gopalakrishnan,M
gopi,M
govind,M
govindarajan,M
gurbaksh,M
gurcharan,M
gurdeep,M
gurdev,M
gurinder,M
gurjeet,M
gurjit,M
gurmeet,M
gurmukh,M
gurpreet,M
gursewak,M
gurtej,M
habib,M
hamid,M
hamza,M
hanif,M
harbans,M
harbhajan,M
hardeep,M
hardev,M
harendra,M
harinder,M
harish,M
harjeet,M
harjit,M
harjot,M
harminder,M
harpal,M
harpreet,M
harsh,M
harvinder,M
hemant,M
hitesh,M
hrishikesh,M
ikram,M
ilango,M
imran,M
inderjit,M
indranil,M
iqbal,M
irfan,M
ishaan,M
ismail,M
jaffar,M
jagadeesh,M
jagdeep,M
jagjit,M
jagmohan,M
jagtar,M
jai,M
jarnail,M
jaspreet,M
jaswant,M
jatin,M
javed,M
jayanta,M
jayaraman,M
jayesh,M
jignesh,M
jitesh,M
joginder,M
junaid,M
kabir,M
kailash,M
kalpesh,M
kalyan,M
kamal,M
kamlesh,M
kamran,M
kannan,M
kapil,M
karan,M
karthik,M
karthikeyan,M
kartick,M
kartik,M
karunanidhi,M
kashif,M
kaushik,M
ketan,M
khalid,M
kishor,M
kishore,M
koushik,M
krishna,M
krishnan,M
kuldeep,M
kulwinder,M
kumaran,M
kunal,M
lakhwinder,M
lalit,M
liaqat,M
lokesh,M
madhav,M
madhavan,M
mahesh,M
mahinder,M
malay,M
manas,M
mandeep,M
mani,M
manik,M
manikandan,M
manish,M
manjeet,M
manjit,M
manmohan,M
manoj,M
manpreet,M
mansoor,M
mayur,M
mehul,M
mihir,M
milind,M
mohammad,M
mohammed,M
mohan,M
mohanraj,M
mohit,M
mrinal,M
mukesh,M
murali,M
murugan,M
muthu,M
nabin,M
nadeem,M
narayanan,M
naren,M
narendra,M
naresh,M
narinder,M
nasir,M
natarajan,M
navdeep,M
naveed,M
nawaz,M
nayan,M
neeraj,M
nikhil,M
nilesh,M
nirmal,M
nishant,M
nishith,M
nitai,M
nitin,M
om,M
omkar,M
owais,M
padmanabhan,M
palanisamy,M
palash,M
pankaj,M
paramjit,M
paresh,M
parminder,M
parth,M
partha,M
parvez,M
pervez,M
prabhakar,M
prabhu,M
pradeep,M
prakash,M
pramod,M
pranab,M
prasad,M
prasenjit,M
pratap,M
pratik,M
pravin,M
pritpal,M
provash,M
puneet,M
qadir,M
qasim,M
rabindra,M
rafi,M
rafiq,M
