shape,k,mode,p50_ms
attn_head,1,separate,0.000375
attn_head,1,batched,0.000333
attn_head,2,separate,0.000625
attn_head,2,batched,0.0005
attn_head,4,separate,0.001167
attn_head,4,batched,0.0005205
attn_head,8,separate,0.002416
attn_head,8,batched,0.000792
attn_head,14,separate,0.004084
attn_head,14,batched,0.001208
attn_head,28,separate,0.008167
attn_head,28,batched,0.002167
linear_proj,1,separate,0.002583
linear_proj,1,batched,0.002542
linear_proj,2,separate,0.005166
linear_proj,2,batched,0.004958
linear_proj,4,separate,0.012
linear_proj,4,batched,0.012896
linear_proj,8,separate,0.0236665
linear_proj,8,batched,0.024834
linear_proj,14,separate,0.0423125
linear_proj,14,batched,0.03725
linear_proj,28,separate,0.087979
linear_proj,28,batched,0.098875
